f_wb	m_wb	f_go	m_go	f_re	m_re	f_tx	m_tx	f_dg	m_dg	f_hd	m_hd	f_ac	m_ac
FBgn0147903	0.347993446041045	9.94914087073108	0	0	0	0	0	0	0	0	12.1417808088346	20.2896099997125	0	0
FBgn0147914	1.63329743865924	1.91048794952747	1.48066573584223	0	4.19765373328815	0.651190523750557	10.9804041587596	4.43139042882154	2.64828059493508	0	3.95381086296963	1.28375022384033	3.00173828259872	0
FBgn0147915	0	0	0	0	0	0	0	0	0	0	0	0.443917846685171	0	0
FBgn0147918	0.52112200434298	1.03006308995154	0.125676785453738	0.74552947780794	1.57363472762967	0.651190523750557	3.18710947179437	4.38590646775886	1.16497694276941	0	4.57826339303759	7.70672791723501	2.74173028215846	0.708686989023986
FBgn0147919	1.48433605531298	11.0332949432582	1.38605667318579	11.0995439152283	13.2969382498698	2.34011389985045	25.8416560179792	20.0806277639116	3.69499974802965	2.74841357715269	21.1860353730786	18.7583810207787	11.7975909774808	7.67477403245036
FBgn0147922	0	1.78351451742995	0	0	0	0	2.31478295790552	0	0	0	8.34255183725263	6.69565122724209	0.623342033024948	0
FBgn0147924	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147925	0	0	0	0	0	0	0.721228222008333	0	0	0	1.06575385926976	3.00246147928251	0	0
FBgn0147926	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147927	0.888910094606468	3.77145171994541	0.622649729484266	0.714011036914998	0.680840528086752	0.854557725225853	3.08907022470047	6.0088888521769	0	1.30908946882487	4.30480841702962	6.43055189551499	0	0.542793021856492
FBgn0147938	0	16.4462003938692	0	0	0	0	4.6649025397147	0	0	0	1.39032175727724	0.42650788321576	4.67262858980884	3.68556839423096
FBgn0147939	0	0	0	0	0	0	0	0	0	0	3.17207450893518	6.51948799252228	0	0
FBgn0147940	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147941	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147948	1.08842514426036	0	403.624734666073	0	0	0	0	0	0	0	0	0	0	0
FBgn0147951	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147953	0	0	0	1.47669436901791	0	0	0	0	0	0	0	0	0	0
FBgn0147963	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147970	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147974	0	0	0	0	0	0	0.721228222008333	0	0	0	0	0	0	0
FBgn0147977	0	0.797643473738132	0	0	0	0	1.06306319247054	3.71714797222791	0	0	2.47939880465343	1.76658190471697	0.679948406426977	0
FBgn0147978	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0147993	0	0.947281704113737	0	0	0	0	0	0	0	0	0	0.887835693370343	0	0
FBgn0148008	1.58364364421048	5.68369022468242	0	0	2.07075737897478	2.15693877272697	7.19417666764772	17.9397363925646	0	0.866505914299709	14.2222340816004	18.775088065013	0.43585209154181	3.86712114173415
FBgn0148010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148043	205.884136063363	229.404589275179	185.621364170647	64.1567457660234	265.72670527366	234.948488012314	160.406707259141	177.360526431286	367.341089888796	307.791441877956	309.540798568011	335.64712572873	255.951708250786	319.488291737354
FBgn0148044	0.695986892082091	10.3373173594133	0.377030356361213	2.27089614201377	8.13643270725572	4.51724474692923	7.54874204123864	13.9738988763198	1.29781615155447	5.10491277980184	5.75708139819209	5.32075727880206	7.25300697708863	5.60062427378141
FBgn0148053	0	0	0	0	0	0	0	0	0	0	0.706822472691836	0.221958923342586	0	0
FBgn0148081	0	7.95174881006186	0	45.2036517055037	0	0	0	0	0	0.521652892794374	0	0	0	0
FBgn0148091	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148098	0	0.526363944114809	0	0	0	0	0	0	0	0	0.706822472691836	1.46117476520907	0	0
FBgn0148109	0	2.6412745787278	0	31.6896228624229	0	0	0	0	0	0	0	0	0	0
FBgn0148110	0	1.2458181741761	0	0	3.87713906766928	0.788438694440681	0.721228222008333	2.77205717923113	4.9025302003639	1.01540174855327	0.695782172227833	0.430734457408808	2.51354565282839	4.67413210918692
FBgn0148114	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148136	1.04571666756031	4.61975692308951	0.804300985264216	0.714011036914998	0.786817363814834	25.7639801433646	1.00362227926918	4.36079353570959	24.315419494267	24.8429564866389	0.831548212629796	0.974116510139379	0	0.542793021856492
FBgn0148147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148153	0	0	0	0	0	0	0	0.883626995775144	1.07469124354919	2.05870753414202	0	0.430734457408808	0	0
FBgn0148157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148173	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148174	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148175	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148176	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148182	0.445564705501373	0	0	0	0	0	1.2527598182436	2.21569521441077	0	0	0.901635267611232	0.861468914817615	0	1.80993181307267
FBgn0148198	0	1.96068026207643	0	0	0	0	0.872326513888854	2.19295323387943	0	0	5.52959302858205	5.69183167124904	0	1.80993181307267
FBgn0148202	0	0.515031544975769	0	1.49105895561588	0	0	0	0	0	0	0	0	0	0
FBgn0148203	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148209	173.580303452239	125.464026636109	136.226416013235	185.170863669494	144.774394941929	199.995810516971	146.858202565222	135.225928072863	205.495230264246	203.059772462605	148.760700267129	136.82656862738	163.521695184176	180.420544754961
FBgn0148213	0	0.365393314600164	0	0	0	0	0	0	0	0	0.347269792524701	0.665876770027757	0	0
FBgn0148216	137.233929074233	200.878750961959	121.006102258737	261.352307458085	234.24958839155	210.523364606869	165.820711042223	214.387042333847	174.678681481281	195.660927854598	421.942253980245	539.645129542353	133.13782776644	138.755946748228
FBgn0148218	8.63621907375323	7.77586420376791	6.51156282809367	35.0314168089617	0.868000028448939	30.4716595936962	1.59355473589719	0.883626995775144	5.19126460621787	5.74926404702111	0	2.20999608470492	0.983132581456733	0
FBgn0148224	0	0.730786629200328	0	0	0	0	0.721228222008333	0.883626995775144	0.568809520056981	0	4.22989453568701	7.15054483561121	0.623342033024948	0
FBgn0148227	0.173128558301934	1.81178202238967	0	0	8.58352526120631	0.651190523750557	0.721228222008333	1.13994169892277	0	0	6.60433899386148	3.27665029303333	0	0
FBgn0148233	118.5015181122	134.750214609427	142.889997674172	133.418019097578	56.5835436267018	50.1444503152219	108.410030620706	147.494592522483	55.0265914775873	60.4442413544686	224.701168945662	266.141599878021	73.6136537089312	62.9981403045986
FBgn0148234	50.1197378770964	54.8508087091037	64.9854136558101	53.9587776318385	25.7990456100774	24.2570693482573	47.6280186220299	66.7293370406563	25.5993198186375	29.865211263577	88.1178937945647	102.531331049786	21.72062218652	32.2804073010412
FBgn0148246	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148248	2.13198859748371	2.82518058035236	0.333655010633125	0	4.06821635362786	6.63810470945131	6.14696403673176	8.94022449102369	40.1541706756567	25.3313055313885	2.81314312235726	2.70664748849555	4.13520960184456	0.542793021856492
FBgn0148266	1.3608612914598	6.18393477865463	0	0	0	0	4.52413808119454	8.20825079573351	0	0	22.2470119972034	28.259999914995	9.13679555418888	4.88606980703497
FBgn0148271	0	0	0	0	0	0	1.53515387550445	0	0.568809520056981	0	0.35893138657792	0	0	0
FBgn0148273	0	0	0	0.714011036914998	0	0	0	0	0	0	0	0	0	0
FBgn0148279	1.22058155529942	0	1.5793325503853	0	0	0	0	0	0	0	0.347269792524701	0	0	0
FBgn0148280	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148281	0	0	0.152003754853174	0.714011036914998	0	0	0	0	0	0	0	0	0	0
FBgn0148287	0.695986892082091	12.3259480340631	0.125676785453738	15.8619652855064	31.4222514952277	73.5897267383997	4.83372325247818	5.50073523463237	1.63590296015149	2.77631761418816	9.65539730129173	13.2935961409704	1.05919412456676	2.3223398845843
FBgn0148297	0.695986892082091	5.15125415702895	0	8.71414932854372	3.56923522402551	4.09031826962682	0.721228222008333	0	3.78858133633298	10.2575585439949	1.45600074269776	1.3485271698873	0.983132581456733	0
FBgn0148298	0.173128558301934	1.46231324908951	0	0	14.7039457162024	7.52874124488205	0	0	5.88531553160522	9.25023188512135	0	0	0	0
FBgn0148300	0	0	0	0.714011036914998	0	0	0	0	0	0	0	0	0	0
FBgn0148305	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148306	0.173128558301934	1.39086426239074	0	0	1.06251893802807	0.854557725225853	5.44952363987001	7.41602975267521	0	0	8.25172603608148	8.5245641175972	0.871704183083621	1.22852279807699
FBgn0148314	0	2.12624303375203	0	0	0	0	0	0.569970849461387	0	0	4.65269950314354	10.4757354043557	0	0
FBgn0148315	0	0.880424859575933	0	0	0	0	1.06306319247054	0	0	0	5.9028471504579	8.5245641175972	0	0
FBgn0148316	0.395910911052621	5.13120689042501	0	0	0	0	0.472090683033909	0.666034109317814	0	0	22.7034813838918	21.8575663988299	0	0
FBgn0148319	0	0	0	0	0	0	0	0	0	0	4.57826339303759	6.53689795599169	0	0
FBgn0148323	1.04571666756031	5.18957292277519	0	32.8239023608196	64.1121044979055	22.6698480312526	0	0	8.78881031689448	6.1959515497818	2.08486134232664	1.8271322765709	15.7004219270182	19.18210634346
FBgn0148324	0.761962671878933	1.66214379201407	0	0	21.4463143931911	5.41289139147975	0	1.71904564427447	2.64828059493508	3.76381532570596	0	0	7.13979423028457	4.18325029573344
FBgn0148326	6.03797125468682	14.033078991552	1.30104335600559	0.74552947780794	28.2550434655374	18.9444704746307	10.433654929272	10.1815936263329	21.3688236510386	13.6026331073652	7.29701469814323	8.51138072832084	12.3529559880923	17.9641461562298
FBgn0148328	3.38077549068676	7.10951573045642	0.974705700408254	0	22.9278363883489	16.1564963357899	8.13835803371554	4.86894715325413	10.5464516782812	14.6506717691929	2.77499285781513	4.91997984050141	9.68976873578639	11.2198985424628
FBgn0148332	0.697723221519267	2.78172852478149	0	0	0	0	0	2.98965006568845	0	0	7.8407001533403	10.4757354043557	0	0
FBgn0148345	2.08796067624627	2.08279097818116	0	0	1.55017418369746	0.788438694440681	1.06306319247054	0.666034109317814	71.3317265766024	42.5633412168436	1.73634896262351	0.221958923342586	0	1.59069568275683
FBgn0148352	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148371	1.71753638468673	3.20163572025973	1.58234263903731	0.74552947780794	5.96447374333518	1.30238104750111	3.07030775100889	3.76535631950373	0.568809520056981	4.98048866574122	9.18869214499387	10.2870521150615	2.18912195965969	2.74291910488198
FBgn0148377	0	0	0	0	0	0	0	0	0	0	0	0.221958923342586	0	0
FBgn0148386	0.174864887739111	1.2298936328761	0.696957522193026	3.74480124333467	0	0.651190523750557	0.472090683033909	0	0	0	0.277182737543265	2.18476930648703	0	0
FBgn0148387	0	0	0.152003754853174	0	0	0	0	0	0	0	0	0	0	0
FBgn0148388	0	0	0.129673608962183	0	0	0	0	0	0	0	0	0	0	0
FBgn0148391	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148392	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148394	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148395	0.222782352750686	0.432250159137968	0.41135097277754	0	2.57709791779407	0	0	0	0	0	2.82728989076734	2.570969381922	0	0
FBgn0148396	0	0	0.129673608962183	0	0.381678409941313	0	0	0	0	0	2.18552510990682	2.48468856515296	0	0
FBgn0148397	0	0.365393314600164	0.125676785453738	0.74552947780794	0	0	0	0	0	0	2.46835850418942	3.26346690375697	0	0
FBgn0148398	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148411	2.70450072571262	13.0344422123408	0.152003754853174	1.42802207383	0.925722149150836	3.53044896013303	8.61388533932642	13.0633229500615	3.02132310964224	4.39311322519803	26.0719500636888	32.4547423362666	1.05919412456676	5.60948296606811
FBgn0148420	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148421	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148429	0	5.92035955197552	0	40.5847590003986	0	0.854557725225853	0	0	0	0	0	0	0	0
FBgn0148430	1.90788680019563	7.27843602449501	0	0	8.73772240519129	7.24390097537845	18.0932239473878	12.768724460815	1.16497694276941	0	33.0210736757182	37.4012735419749	17.1812045487866	14.5839830030583
FBgn0148431	20.7323704244703	86.3616563781063	0.859368590320173	17.4514492948894	139.693008530101	51.3383052770479	120.240944313949	87.1120295830634	19.0882821886101	21.007928698773	113.962809958687	46.9200759317251	751.946008743974	585.707332925921
FBgn0148443	4.90698356512149	5.13291092707999	11.0106153508931	3.63309206636088	1.30740055909215	6.68420373789576	10.0220785459488	7.54221668641569	4.0865337587293	4.63032124000567	8.76351895563193	5.1434540437474	3.6816866890257	0.542793021856492
FBgn0148460	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148461	0	0	0	3.66461050725382	0	0	0	0	0	0	0	0	0	0
FBgn0148464	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148465	0.620429593240484	4.73640852056868	0	0	0.868000028448939	1.50574824897641	6.14696403673176	8.65203471145441	0	0	7.19268945384164	3.63762359025041	0	0.904965906536334
FBgn0148467	0	4.22137697559291	0	0	0	0	3.07030775100889	1.99810232795344	0	0	13.4061608088966	18.8846213668243	0	0
FBgn0148473	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148474	0	0	0	0	1.60656267723759	0	1.74465302777771	0.569970849461387	0	0	0	0	0	0.542793021856492
FBgn0148485	0.52112200434298	0	0	0	4.33922577294769	0	2.69521626226027	2.02356869469792	1.95691137083167	4.68612931407662	1.9459298195422	0.430734457408808	0.623342033024948	0
FBgn0148488	0.397647240489797	3.00666789332796	0	0.714011036914998	0	0	3.7582794547308	0	2.92343960696733	0.866505914299709	12.9000764841005	10.2869080874948	0	0
FBgn0148490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148504	1.21537256698789	0	0.881996947408632	0	0.680840528086752	0	3.48295752084144	1.99810232795344	0	0	0.971722322592668	0	0.547280489914922	2.27642545897732
FBgn0148523	0.569039469354555	0	0.259347217924365	0	0	0	0	0	0	0	0	0	0	0
FBgn0148532	0	0	0	0	0	0	4.01448911707671	4.75690405723874	0	0	0.35893138657792	2.56327387348761	0	0
FBgn0148535	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148544	0.668347058252059	5.79758070243137	0	0	0	0	3.07030775100889	3.8732770614636	0	0	10.8778136909387	20.7959708601386	0	0
FBgn0148545	0	0	0	0	0	0	0	0	0	0	1.04243067116332	0	0	0
FBgn0148546	0.173128558301934	0.365393314600164	0	0	1.73600005689788	2.22806791263192	0	1.76725399155029	0.47092601738207	0	0.277182737543265	0	0.623342033024948	1.99055195024932
FBgn0148548	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148549	0	0.432250159137968	0	1.49105895561588	0	0.854557725225853	0	0	0	0	1.41240235820524	2.83273244634816	0	0.542793021856492
FBgn0148553	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148555	0	0.365393314600164	0	0	0	0	0	0	0	0	1.39032175727724	2.83323611304538	0	0
FBgn0148576	1.73260502755674	7.79346756947078	0	0	5.96447374333518	2.78793722212571	29.8218152302601	13.4103367365355	1.77633997239123	0	24.8336572091239	35.4563767889971	13.7432241028383	3.97144190295897
FBgn0148597	0	0	0.255350394415921	0	0	0	0	0.666034109317814	0	0	0	0.221958923342586	0	0
FBgn0148604	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148605	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148606	0	0	0	0	0	0	0	0	0	0	0.347891086113917	0.853015766431519	0	0
FBgn0148607	0.395910911052621	2.62048732143501	0	0	3.11167425132788	0	5.96659452521121	13.1397220502949	0	0	14.6625616452265	9.35272410556765	0	0
FBgn0148608	0	0.526363944114809	0	0	0	0	0	0	0	0	0	0.487058255069689	0	0
FBgn0148609	0	0.526363944114809	0	0	0	0	0	0	0	0	0	0	1.68253615759171	1.91425257429748
FBgn0148618	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148619	0	3.93242234946006	0	0.74552947780794	0.868000028448939	3.43912774587626	1.00362227926918	0	4.90770888045446	21.7376009534674	0.347269792524701	0	0	0
FBgn0148627	4.00105646475343	29.543917620222	4.43022389123024	12.5762382842462	17.2093283750381	11.4348559068806	31.2814371750061	39.8171065019918	13.7662234945572	14.0189764986721	25.8054970223787	39.1865678090113	16.3851970497143	5.55470984817443
FBgn0148631	0.572512128228909	10.9304916295114	0	0	9.84694731965153	2.60476209500223	1.59355473589719	8.63018111870234	0	0	38.7829784368129	32.9890371043702	0.623342033024948	10.0118400870438
FBgn0148639	0	0.880424859575933	0	0	0	0	0	0	0	0	0.277182737543265	0.430734457408808	0	2.71396510928246
FBgn0148655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148664	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FBgn0148665	173.584491946752	142.326049553688	170.915146028651	195.282145621617	299.058123187891	338.038369933561	173.718568423584	204.606146100845	120.908761842981	136.015374091761	171.007448979662	171.561526800828	151.951737481651	147.855085765312
FBgn0148674	0.791821822105242	1.56775943320539	0.125676785453738	0	0	0	0.721228222008333	0.883626995775144	2.14938248709839	0.866505914299709	4.09386748227037	2.52782897353748	0	0.904965906536334
FBgn0148682	2.98277477957777	0.797643473738132	1.66177597545771	5.77512517710587	0	1.57687738888136	0	0	0.47092601738207	0	0	0.42650788321576	1.05919412456676	0
FBgn0148695	0	0	0	0	0	0	1.59355473589719	1.05301153495666	0	0	0	3.59371418128787	0	0
